;Title;Producer;Brand;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes
412;Bodega Aleanna, Gran Enemigo Single Vineyard Los Chacayes;Bodega Aleanna;Gran Enemigo Single Vineyard Los Chacayes;2016;Still;Red;Argentina;Los Chacayes, Tunuyán;;Dry;Cork;13.50%;Full;Oaked;['85% Cabernet Franc', '15% Malbec']
413;Catena Zapata, DV Catena Malbec, Mendoza, Argentina, 2018;Catena Zapata;DV Catena Malbec;2018;Still;Red;Argentina;Mendoza;;Dry;;;;;['Malbec']
414;Casa Boher, Extra Brut, Uco Valley, Mendoza, Argentina;Casa Boher;Extra Brut;;Sparkling;Rosé;Argentina;Mendoza;Uco Valley;Extra Brut;Cork;12.50%;Light;;['30% Chardonnay', '70% Pinot Noir / Pinot Nero']
415;Terrazas de los Andes, Reserva Malbec, Uco Valley, 2018;Terrazas de los Andes;Reserva Malbec;2018;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Cork;14.00%;Full;Oaked;['100% Malbec']
416;Corvus, Ala Negra, Lulunta, Mendoza, Argentina, 2007;Corvus;Ala Negra;2007;Still;Red;Argentina;Mendoza;Lulunta;Dry;Cork;14.00%;Full;;['100% Malbec']
417;Zuccardi, Blanc de Blancs Cuvee Especial, Mendoza, 2016;Zuccardi;Blanc de Blancs Cuvee Especial;2016;Sparkling;White;Argentina;Mendoza;;Brut;Natural Cork;12.00%;Light;;['100% Chardonnay']
418;Zuccardi, Q Malbec, Uco Valley, Mendoza, Argentina 2018;Zuccardi;Q Malbec;2018;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Cork;14.00%;Medium;Oaked;['100% Malbec']
419;Catena Zapata, Nicolás Catena Zapata, Uco Valley, 2017;Catena Zapata;Nicolás Catena Zapata;2017;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;13.50%;Full;Oaked;['8% Cabernet Franc', '59% Cabernet Sauvignon', '33% Malbec']
420;Altos de Tintogasta, Seismiles, Calchaquí Valley, 2019;Altos de Tintogasta;Seismiles;2019;Still;Red;Argentina;Salta;Calchaquí Valley;Dry;Natural Cork;13.00%;Full;;['100% Syrah / Shiraz']
421;Finca Las Glicinas, Terciopelo, Uco Valley, Altamira, 2018;Finca Las Glicinas;Terciopelo;2018;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;14.50%;Full;Oaked;['100% Syrah / Shiraz']
422;Diamandes, Diamandes de Uco, Uco Valley, Mendoza, 2017;Diamandes;Diamandes de Uco;2017;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;14.00%;Full;Oaked;['100% Syrah / Shiraz']
423;Tapiz, Syrah, Mendoza, Argentina, 2018;Tapiz;Syrah;2018;Still;Red;Argentina;Mendoza;;Dry;Natural Cork;14.00%;Full;Oaked;['100% Syrah / Shiraz']
424;Catena, Animal Orgánico, Uco Valley, Vista Flores, 2018;Catena;Animal Orgánico;2018;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;13.50%;Full;Oaked;['100% Syrah / Shiraz']
425;La Puerta, Clasico, La Rioja, Argentina, 2019;La Puerta;Clasico;2019;Still;Red;Argentina;La Rioja;;Dry;Natural Cork;14.00%;Full;;['Syrah / Shiraz']
426;Durigutti, Cara Sucia, Mendoza, Argentina, 2018;Durigutti;Cara Sucia;2018;Still;Red;Argentina;Mendoza;;Dry;;13.60%;;;['Bonarda', 'Sangiovese', 'Syrah / Shiraz']
427;Altar Uco, Edad Moderna Red Blend, Uco Valley, Tupungato, Argentina, 2018;Altar Uco;Edad Moderna Red Blend;2018;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Cork;14.50%;Medium;Unoaked;['45% Cabernet Franc', '45% Malbec', '25% Merlot']
428;Estancia Uspallata, El Corte, Luján de Cuyo, Mendoza 2018;Estancia Uspallata;El Corte;2018;Still;Red;Argentina;Mendoza;Luján de Cuyo;Dry;Cork;;Full;Oaked;['25% Cabernet Franc', '70% Malbec', '5% Pinot Noir / Pinot Nero']
429;Michelini i Mufatto, Balsa de Piedra Blend de Tintas, Uco Valley 2019;Michelini i Mufatto;Balsa de Piedra Blend de Tintas;2019;Still;Red;Argentina;Mendoza;Uco Valley;Dry;;13.20%;;;['Cabernet Franc', 'Malbec']
430;El Esteco, Chañar Punco, Catamarca, Argentina, 2016;El Esteco;Chañar Punco;2016;Still;Red;Argentina;Catamarca;;Dry;Cork;14.50%;Full;Oaked;['30% Cabernet Sauvignon', '60% Malbec', '10% Merlot']
431;Susana Balbo, Signature White Blend, Uco Valley, Mendoza, 2019;Susana Balbo;Signature White Blend;2019;Still;White;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;13.00%;Medium;Lightly Oaked;['33% Sauvignon Blanc', '33% Sémillon', '33% Torrontés']
432;Susana Balbo, Signature Barrel-Fermented Torrontés, Uco Valley, Mendoza, 2019;Susana Balbo;Signature Barrel-Fermented Torrontés;2019;Still;White;Argentina;Mendoza;Uco Valley;Dry;Screwcap;;Medium;Lightly Oaked;['100% Torrontés']
433;Bodega Norton, Perdriel Series Sauvignon Blanc, 2017;Bodega Norton;Perdriel Series Sauvignon Blanc;2017;Still;White;Argentina;Mendoza;;Dry;Cork;;Medium;Lightly Oaked;['100% Sauvignon Blanc']
434;Riccitelli, Old Vines Semillon, Río Negro, Patagonia, 2019;Riccitelli;Old Vines Semillon;2019;Still;White;Argentina;Patagonia;Río Negro;Dry;Cork;13.00%;Medium;Oaked;['100% Sémillon']
435;El Esteco, Michel Torino Cuma Organic Torrontés, 2019;El Esteco;Michel Torino Cuma Organic Torrontés;2019;Still;White;Argentina;Salta;;Dry;Screwcap;;Medium;Unoaked;['100% Torrontés']
436;Bodega Colomé, Lote Especial Sauvignon Blanc, Salta, 2018;Bodega Colomé;Lote Especial Sauvignon Blanc;2018;Still;White;Argentina;Salta;;Dry;Cork;;Medium;Lightly Oaked;['100% Sauvignon Blanc']
437;Zuccardi, Fósil, Uco Valley, Mendoza, Argentina, 2018;Zuccardi;Fósil;2018;Still;White;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;;Medium;Lightly Oaked;['100% Chardonnay']
438;Bodega Colomé, Estate Torrontes, Calchaquí Valley, 2019;Bodega Colomé;Estate Torrontes;2019;Still;White;Argentina;Salta;Calchaquí Valley;Dry;Screwcap;;Full;Unoaked;['100% Torrontés']
439;Bodega Trapiche, El Esteco Old Vines 1945 Torrontés, Calchaqui Valley, Argentina, 2019;Bodega Trapiche;El Esteco Old Vines 1945 Torrontés;2019;Still;White;Argentina;Salta;Calchaquí Valley;Dry;Cork;14.00%;Full;Unoaked;['100% Torrontés']
440;Viña Zorzal, Eggo Blanc de Cal, Uco Valley, Tupungato, 2018;Viña Zorzal;Eggo Blanc de Cal;2018;Still;White;Argentina;Mendoza;Uco Valley;Dry;Cork;;Light;Unoaked;['100% Sauvignon Blanc']
441;Catena, DV Catena Chardonnay Historico, Mendoza, 2019;Catena;DV Catena Chardonnay Historico;2019;Still;White;Argentina;Mendoza;;Dry;Cork;;Medium;Oaked;['100% Chardonnay']
442;Riccitelli, Blanco de La Casa, Mendoza, Argentina, 2019;Riccitelli;Blanco de La Casa;2019;Still;White;Argentina;Mendoza;;Dry;Cork;;Light;Unoaked;['20% Chardonnay', '40% Sauvignon Blanc', '40% Sémillon']
443;Matervini, Blanco, Uco Valley, Los Chacayes, Mendoza, 2018;Matervini;Blanco;2018;Still;White;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;14.50%;Full;Oaked;['93% Marsanne', '7% Viognier']
444;Catena, Adrianna Vineyard White Stones Chardonnay, Uco Valley, Mendoza, 2018;Catena;Adrianna Vineyard White Stones Chardonnay;2018;Still;White;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;13.50%;Medium;Oaked;['100% Chardonnay']
445;Catena, Appellation Luján de Cuyo White Clay, Luján de Cuyo, Mendoza, 2019;Catena;Appellation Luján de Cuyo White Clay;2019;Still;White;Argentina;Mendoza;Luján de Cuyo;Dry;Cork;;Medium;Oaked;['40% Chenin Blanc', '60% Sémillon']
446;Pulenta Estate, XI Gran Cabernet Franc, Luján de Cuyo, Mendoza, 2017;Pulenta Estate;XI Gran Cabernet Franc;2017;Still;Red;Argentina;Mendoza;Luján de Cuyo;Dry;Natural Cork;14.30%;Full;Oaked;['100% Cabernet Franc']
447;Superuco, Sorella, Uco Valley, Gualtallary, Mendoza, 2016;Superuco;Sorella;2016;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;13.80%;Medium;Oaked;['100% Cabernet Franc']
448;Durigutti, Proyecto Las Compuertas Cabernet Franc, Las Compuertas, Mendoza, 2019;Durigutti;Proyecto Las Compuertas Cabernet Franc;2019;Still;Red;Argentina;Mendoza;Las Compuertas;Dry;Natural Cork;14.00%;Medium;Unoaked;['100% Cabernet Franc']
449;Zuccardi, Polígonos del Valle de Uco Cabernet Franc San Pablo, Uco Valley, 2017;Zuccardi;Polígonos del Valle de Uco Cabernet Franc San Pablo;2019;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;13.00%;Medium;Lightly Oaked;['100% Cabernet Franc']
450;Andeluna, Pasionado Cabernet Franc, Uco Valley, Gualtallary, Mendoza, 2017;Andeluna;Pasionado Cabernet Franc;2017;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Natural Cork;14.00%;Full;Oaked;['100% Cabernet Franc']
