;Title;Producer;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes;Brand
751;Domaine de Cristia, Chapelle Saint Théodoric La Guigasse, Châteauneuf-du-Pape, Rhône, France 2021;Domaine de Cristia;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.50%;Medium;Unoaked;['100% Grenache'];Chapelle Saint Théodoric La Guigasse
752;Clos des Papes, Châteauneuf-du-Pape, Rhône, France 2021;Clos des Papes;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;15.20%;Medium;Lightly Oaked;['30% Mourvèdre', '10% Syrah / Shiraz', '55% Grenache'];
753;Famille Isabel Ferrando, Colombis, Châteauneuf-du-Pape, Rhône, France 2021;Famille Isabel Ferrando;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;;Full;Lightly Oaked;['100% Grenache'];Colombis
754;Le Clos du Caillou, Les Quartz, Châteauneuf-du-Pape, Rhône, France 2021;Le Clos du Caillou;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;15.00%;Medium;Lightly Oaked;['20% Syrah / Shiraz', '80% Grenache'];Les Quartz
755;Domaine Bois de Boursan, Cuvée des Felix, Châteauneuf-du-Pape, Rhône, France 2021;Domaine Bois de Boursan;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.00%;Full;Lightly Oaked;['30% Mourvèdre', '60% Grenache'];Cuvée des Felix
756;Domaine de Fontavin, Trilogies, Châteauneuf-du-Pape, Rhône, France 2021;Domaine de Fontavin;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.00%;Full;Unoaked;['5% Mourvèdre', '15% Syrah / Shiraz', '80% Grenache'];Trilogies
757;Domaine de la Janasse, Châteauneuf-du-Pape, Rhône, France 2021;Domaine de la Janasse;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;15.00%;Medium;Unoaked;['10% Mourvèdre', '20% Syrah / Shiraz', '65% Grenache'];
758;Xavier Vignon, Châteauneuf-du-Pape, Rhône, France 2021;Xavier Vignon;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;15.00%;Medium;Lightly Oaked;['10% Mourvèdre', '10% Syrah / Shiraz', '75% Grenache'];
759;Domaine des Saumades, Châteauneuf-du-Pape, Rhône, France 2021;Domaine des Saumades;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;;Full;Lightly Oaked;['100% Grenache'];
760;Julien Masquin, Pignan, Châteauneuf-du-Pape, Rhône, France 2021;Julien Masquin;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;;Light;Lightly Oaked;['Grenache'];Pignan
761;Domaine Olivier Hillaire, Les Petits Pieds d'Armand, Châteauneuf-du-Pape, Rhône, France 2021;Domaine Olivier Hillaire;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;16.00%;Full;Lightly Oaked;['100% Grenache'];Les Petits Pieds d'Armand
762;Clos St Michel, M M, Châteauneuf-du-Pape, Rhône, France 2021;Clos St Michel;2021;Still;Red;France;Rhône;;;;;;;;M M
763;Domaine l'Abbé Dîne, Châteauneuf-du-Pape, Rhône, France 2021;Domaine l'Abbé Dîne;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.50%;Medium;Unoaked;['2% Mourvèdre', '8% Syrah / Shiraz', '90% Grenache'];
764;Alain Jaume & Fils, Terrasse de Montmirail, Gigondas, Rhône, France 2021;Alain Jaume & Fils;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;;Medium;Lightly Oaked;['Mourvèdre', 'Syrah / Shiraz', '65% Grenache'];Terrasse de Montmirail
765;Château de St Cosme, Gigondas, Rhône, France 2021;Château de St Cosme;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;;Medium;Oaked;['15% Mourvèdre', '14% Syrah / Shiraz', '70% Grenache'];
766;Le Mas des Flauzieres, Secret du Roc, Gigondas, Rhône, France 2021;Le Mas des Flauzieres;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;;Medium;Lightly Oaked;['90% Mourvèdre', '10% Grenache'];Secret du Roc
767;Gigondas la Cave, Signature, Gigondas, Rhône, France 2021;Gigondas la Cave;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;;Medium;Lightly Oaked;['7% Mourvèdre', '7% Syrah / Shiraz', '80% Grenache'];Signature
768;Château de Montfaucon, Vin de Madame la Comtesse, Lirac, Rhône, France 2021;Château de Montfaucon;2021;Still;White;France;Rhône;Lirac;Dry;Cork;13.50%;Full;Oaked;['99% Clairette', '1% Grenache Blanc / Garnacha Blanca'];Vin de Madame la Comtesse
769;Domaine Maby, Casta Diva, Lirac, Rhône, France 2021;Domaine Maby;2021;Still;White;France;Rhône;Lirac;Dry;Cork;14.50%;Medium;Oaked;['67% Grenache Blanc / Garnacha Blanca', '33% Viognier'];Casta Diva
770;Domaine Lafond Roc-Epine, Lirac, Rhône, France 2021;Domaine Lafond Roc-Epine;2021;Still;White;France;Rhône;Lirac;Dry;Cork;;Full;Oaked;['50% Grenache Blanc / Garnacha Blanca', '30% Roussanne', '20% Viognier'];
771;Château Boucarut, Pierres Vivantes, Lirac, Rhône, France 2021;Château Boucarut;2021;Still;Red;France;Rhône;Lirac;Dry;Cork;14.00%;Full;Unoaked;['5% Mourvèdre', '30% Syrah / Shiraz', '60% Grenache'];Pierres Vivantes
772;Château de Montfaucon, Baron Louis, Lirac, Rhône, France 2021;Château de Montfaucon;2021;Still;Red;France;Rhône;Lirac;Dry;Cork;15.00%;Full;Lightly Oaked;['15% Cinsault', '15% Syrah / Shiraz', '60% Grenache'];Baron Louis
773;Domaine M Boutin, MB, Rasteau, Rhône, France 2021;Domaine M Boutin;2021;Still;Red;France;Rhône;Rasteau;Dry;Cork;14.50%;Medium;Unoaked;['12% Mourvèdre', '13% Syrah / Shiraz', '60% Grenache'];MB
774;Domaine Brusset, La Bastide, Rasteau, Rhône, France 2021;Domaine Brusset;2021;Still;Red;France;Rhône;Rasteau;Dry;Cork;14.00%;Full;Unoaked;['40% Mourvèdre', '60% Grenache'];La Bastide
775;Château d'Aqueria, Tavel, Rhône, France 2021;Château d'Aqueria;2021;Still;Rosé;France;Rhône;Tavel;Dry;Cork;14.00%;Full;Unoaked;['15% Cinsault', '20% Clairette', '45% Grenache'];
776;Château de Manissy, Langoustière, Tavel, Rhône, France 2021;Château de Manissy;2021;Still;Rosé;France;Rhône;Tavel;Dry;Cork;13.50%;Full;Unoaked;['10% Clairette', '30% Syrah / Shiraz', '60% Grenache'];Langoustière
777;Grandes Serres, La Rose d'Aimée, Tavel, Rhône, France 2021;Grandes Serres;2021;Still;Rosé;France;Rhône;Tavel;Dry;Cork;13.00%;Full;Unoaked;['7% Cinsault', '30% Syrah / Shiraz', '60% Grenache'];La Rose d'Aimée
778;Domaine Le Sang des Cailloux, Un Sang Blanc, Vacqueyras, Rhône, France 2021;Domaine Le Sang des Cailloux;2021;Still;White;;;;;;;;;;Un Sang Blanc
779;Clos de Caveau, Carmin Brillant, Vacqueyras, Rhône, France 2021;Clos de Caveau;2021;Still;Red;France;Rhône;Vacqueyras;Dry;Cork;14.00%;Medium;Unoaked;['40% Syrah / Shiraz', '60% Grenache'];Carmin Brillant
780;Domaine Le Sang des Cailloux, Azalaïs, Vacqueyras, Rhône, France 2021;Domaine Le Sang des Cailloux;2021;Still;Red;France;Rhône;Vacqueyras;Dry;Cork;;Light;Lightly Oaked;['Mourvèdre', 'Syrah / Shiraz', '90% Grenache'];Azalaïs
781;Xavier Vignon, Vacqueyras, Rhône, France 2021;Xavier Vignon;2021;Still;Red;France;Rhône;Vacqueyras;Dry;Cork;;Medium;Lightly Oaked;['10% Mourvèdre', '60% Syrah / Shiraz', '30% Grenache'];
782;Gabriel Meffre, Saint-Barthélémy, Vacqueyras, Rhône, France 2021;Gabriel Meffre;2021;Still;Red;France;Rhône;Vacqueyras;Dry;Cork;;Medium;Unoaked;['Syrah / Shiraz', 'Grenache'];Saint-Barthélémy
783;Château de Rouanne, Guerin, Vinsobres, Rhône, France 2021;Château de Rouanne;2021;Still;Red;France;Rhône;Vinsobres;Dry;Cork;15.00%;Full;Oaked;['10% Mourvèdre', '40% Syrah / Shiraz', '50% Grenache'];Guerin
784;Domaine Constant Duquesnoy, Les Bécasses, Vinsobres, Rhône, France 2021;Domaine Constant Duquesnoy;2021;Still;Red;France;Rhône;Vinsobres;Dry;Cork;15.00%;Full;Oaked;['40% Syrah / Shiraz', '60% Grenache'];Les Bécasses
785;Clos de la Bonnette, Legende Bonnetta, Condrieu, Rhône, France 2021;Clos de la Bonnette;2021;Still;White;France;Rhône;Condrieu;Dry;Cork;13.50%;Full;Lightly Oaked;['100% Viognier'];Legende Bonnetta
786;Domaine Grangier, Condrieu, Rhône, France 2021;Domaine Grangier;2021;Still;White;France;Rhône;Condrieu;Dry;Cork;13.50%;Full;Oaked;['100% Viognier'];
787;Domaine Johann Michel, Cornas, Rhône, France 2021;Domaine Johann Michel;2021;Still;Red;France;Rhône;Cornas;Dry;Cork;;Full;Lightly Oaked;['100% Syrah / Shiraz'];
788;Domaine du Tunnel, Cornas, Rhône, France 2021;Domaine du Tunnel;2021;Still;Red;France;Rhône;Cornas;Dry;Cork;14.00%;Medium;Lightly Oaked;['100% Syrah / Shiraz'];
789;Domaine Garon, St-Joseph, Rhône, France 2021;Domaine Garon;2021;Still;White;France;Rhône;St-Joseph;Dry;Cork;;Full;Lightly Oaked;['10% Marsanne', '90% Roussanne'];
790;Domaine Jolivet, Clef de Sol, St-Joseph, Rhône, France 2021;Domaine Jolivet;2021;Still;White;France;Rhône;St-Joseph;Dry;Cork;13.00%;Full;Oaked;['95% Marsanne', '5% Roussanne'];Clef de Sol
791;Yves Cuilleron, Lieu-Dit Digue, St-Joseph, Rhône, France 2021;Yves Cuilleron;2021;Still;White;France;Rhône;St-Joseph;Dry;Cork;;Full;Oaked;['100% Roussanne'];Lieu-Dit Digue
792;Jeanne Gaillard, La Relève, St-Joseph, Rhône, France 2021;Jeanne Gaillard;2021;Still;Red;France;Rhône;;;;;;;;La Relève
793;Olivier Ravoire, Oriflamme, St-Joseph, Rhône, France 2021;Olivier Ravoire;2021;Still;Red;France;Rhône;St-Joseph;Dry;Cork;;Light;Lightly Oaked;['100% Syrah / Shiraz'];Oriflamme
794;J Boutin, Parcelle de Jean, St-Joseph, Rhône, France 2021;J Boutin;2021;Still;Red;France;Rhône;St-Joseph;Dry;Cork;13.50%;Medium;Lightly Oaked;['2% Roussanne', '98% Syrah / Shiraz'];Parcelle de Jean
795;Yves Cuilleron, Les Serines, St-Joseph, Rhône, France 2021;Yves Cuilleron;2021;Still;Red;France;Rhône;St-Joseph;Dry;Cork;;Medium;Lightly Oaked;['100% Syrah / Shiraz'];Les Serines
796;M Chapoutier, Haut Chamblard, St-Péray, Rhône, France 2021;M Chapoutier;2021;Still;White;France;Rhône;St-Péray;Dry;Cork;;Medium;Lightly Oaked;['100% Marsanne'];Haut Chamblard
797;Domaine Clape, St-Péray, Rhône, France 2021;Domaine Clape;2021;Still;White;France;Rhône;St-Péray;Dry;Cork;;Full;Lightly Oaked;['80% Marsanne', '20% Roussanne'];
798;Domaine Bernard Gripa, Les Figuiers, St-Péray, Rhône, France 2021;Domaine Bernard Gripa;2021;Still;White;France;Rhône;St-Péray;Dry;Cork;13.00%;Full;Lightly Oaked;['40% Marsanne', '60% Roussanne'];Les Figuiers
799;Domaine Laurent Fayolle, Montis, St-Péray, Rhône, France 2021;Domaine Laurent Fayolle;2021;Still;White;France;Rhône;St-Péray;Dry;Cork;12.00%;Medium;Lightly Oaked;['100% Marsanne'];Montis
800;Domaine Chaboud-Cellier, Boscus, St-Péray, Rhône, France 2021;Domaine Chaboud-Cellier;2021;Still;White;France;Rhône;St-Péray;Dry;Cork;;Full;Oaked;['50% Marsanne', '50% Roussanne'];Boscus
801;Domaine Johann Michel, St-Péray, Rhône, France 2021;Domaine Johann Michel;2021;Still;White;France;Rhône;St-Péray;Dry;Cork;;Full;Oaked;['50% Marsanne', '50% Roussanne'];
802;Domaine Guy Farge, Harmonie, Cornas, Rhône, France 2021;Domaine Guy Farge;2021;Still;Red;France;Rhône;Cornas;Dry;Cork;14.00%;Full;Lightly Oaked;['100% Syrah / Shiraz'];Harmonie
803;Domaine Eric & Joël Durand, Prémices, Cornas, Rhône, France 2021;Domaine Eric & Joël Durand;2021;Still;Red;France;Rhône;Cornas;Dry;Cork;13.50%;Medium;Lightly Oaked;['100% Syrah / Shiraz'];Prémices
804;Domaine Vincent Paris, Granit 60, Cornas, Rhône, France 2021;Domaine Vincent Paris;2021;Still;Red;France;Rhône;Cornas;Dry;Cork;13.00%;Full;Lightly Oaked;['100% Syrah / Shiraz'];Granit 60
805;Domaine JP Jamet, Côte Brune, Côte-Rôtie, Rhône, France 2021;Domaine JP Jamet;2021;Still;Red;France;Rhône;Côte-Rôtie;Dry;Cork;;Medium;Lightly Oaked;['100% Syrah / Shiraz'];Côte Brune
806;M Chapoutier, La Mordorée, Côte-Rôtie, Rhône, France 2021;M Chapoutier;2021;Still;Red;France;Rhône;;;;;;;;La Mordorée
807;Yves Cuilleron, Lieu dit Bonnivieres, Côte-Rôtie, Rhône, France 2021;Yves Cuilleron;2021;Still;Red;France;Rhône;Côte-Rôtie;Dry;Cork;;Medium;Oaked;['100% Syrah / Shiraz'];Lieu dit Bonnivieres
808;Domaine Gaylord Machon, La fille dont j'ai rêvé, Crozes-Hermitage, Rhône, France 2021;Domaine Gaylord Machon;2021;Still;White;France;Rhône;Crozes-Hermitage;Dry;Cork;12.50%;Full;Unoaked;['30% Marsanne', '70% Roussanne'];La fille dont j'ai rêvé
809;Domaine Laurent Habrard, Grand Classique, Crozes-Hermitage, Rhône, France 2021;Domaine Laurent Habrard;2021;Still;White;France;Rhône;Crozes-Hermitage;Dry;Cork;13.00%;Full;Unoaked;['90% Marsanne', '10% Roussanne'];Grand Classique
810;Domaine Melody, L'Exception, Crozes-Hermitage, Rhône, France 2021;Domaine Melody;2021;Still;White;France;Rhône;Crozes-Hermitage;Dry;Cork;13.50%;Full;Lightly Oaked;['70% Marsanne', '30% Roussanne'];L'Exception
811;David Reynaud, Beaumont, Crozes-Hermitage, Rhône, France 2021;David Reynaud;2021;Still;Red;France;Rhône;Crozes-Hermitage;Dry;Cork;12.00%;Medium;Unoaked;['100% Syrah / Shiraz'];Beaumont
812;E Guigal, La Landonne, Côte-Rôtie, Rhône, France 2021;E Guigal;2021;Still;Red;France;Rhône;Côte-Rôtie;Dry;Cork;;Medium;Oaked;['100% Syrah / Shiraz'];La Landonne
813;M Chapoutier, Le Méal, Hermitage, Rhône, France 2021;M Chapoutier;2021;Still;White;France;Rhône;Hermitage;Dry;Cork;;Full;Oaked;['100% Marsanne'];Le Méal
814;Château Redortier, Beaumes de Venise, Rhône, France 2021;Château Redortier;2021;Still;Red;France;Rhône;Beaumes de Venise;;;;;;;
815;Domaine de Coyeux, Les Jumelles, Beaumes de Venise, Rhône, France 2021;Domaine de Coyeux;2021;Still;Red;France;Rhône;Beaumes de Venise;Dry;Cork;14.50%;Medium;Unoaked;['10% Cinsault', '20% Syrah / Shiraz', '70% Grenache'];Les Jumelles
816;Domaine Oratoire St Martin, Réserve des Seigneurs, Cairanne, Rhône, France 2021;Domaine Oratoire St Martin;2021;Still;Red;France;Rhône;Cairanne;Dry;Cork;;Full;Unoaked;['30% Mourvèdre', '10% Syrah / Shiraz', '60% Grenache'];Réserve des Seigneurs
817;Château de Beaucastel, Roussanne Vieilles Vignes, Châteauneuf-du-Pape, Rhône, France 2021;Château de Beaucastel;2021;Still;White;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;;Full;Oaked;['100% Roussanne'];Roussanne Vieilles Vignes
818;Château de Vaudieu, Clos du Belvédère, Châteauneuf-du-Pape, Rhône, France 2021;Château de Vaudieu;2021;Still;White;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.00%;Medium;Lightly Oaked;['100% Grenache Blanc / Garnacha Blanca'];Clos du Belvédère
819;Clos des Papes, Châteauneuf-du-Pape, Rhône, France 2021;Clos des Papes;2021;Still;White;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;;Medium;Unoaked;['17% Clairette', '17% Grenache Blanc / Garnacha Blanca', '17% Roussanne'];
820;Château La Nerthe, Châteauneuf-du-Pape, Rhône, France 2021;Château La Nerthe;2021;Still;White;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;13.50%;Full;Oaked;['30% Clairette', '22% Grenache Blanc / Garnacha Blanca', '43% Roussanne'];
821;Domaine Chante Cigale, Extrait, Châteauneuf-du-Pape, Rhône, France 2021;Domaine Chante Cigale;2021;Still;White;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.00%;Medium;Oaked;['30% Grenache Blanc / Garnacha Blanca', '70% Roussanne'];Extrait
822;Domaine du Bosquet des Papes, Châteauneuf-du-Pape, Rhône, France 2021;Domaine du Bosquet des Papes;2021;Still;White;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;13.50%;Medium;Lightly Oaked;['20% Bourboulenc', '25% Clairette', '25% Grenache Blanc / Garnacha Blanca'];
823;Château Simian, La Font d'Hippolyte, Châteauneuf-du-Pape, Rhône, France 2021;Château Simian;2021;Still;White;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;13.70%;Full;Lightly Oaked;['20% Clairette', '40% Grenache Blanc / Garnacha Blanca', '40% Roussanne'];La Font d'Hippolyte
824;Domaine Clef de Saint Thomas, Pierre Troupel, Châteauneuf-du-Pape, Rhône, France 2021;Domaine Clef de Saint Thomas;2021;Still;White;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;12.50%;Medium;Unoaked;['33% Bourboulenc', '34% Clairette', '33% Roussanne'];Pierre Troupel
825;Domaine de la Solitude, Tradition, Châteauneuf-du-Pape, Rhône, France 2021;Domaine de la Solitude;2021;Still;White;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;13.00%;Medium;Lightly Oaked;['35% Clairette', '20% Grenache Blanc / Garnacha Blanca', '40% Roussanne'];Tradition
826;Domaine de Cristia, Chapelle Saint Théodoric Le Grand Pin, Châteauneuf-du-Pape, Rhône, France 2021;Domaine de Cristia;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.50%;Medium;Unoaked;['100% Grenache'];Chapelle Saint Théodoric Le Grand Pin
827;Château de Beaucastel, Châteauneuf-du-Pape, Rhône, France 2021;Château de Beaucastel;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;;Full;Lightly Oaked;['35% Mourvèdre', '10% Syrah / Shiraz', '30% Grenache'];
828;Domaine de la Janasse, Vieilles Vignes, Châteauneuf-du-Pape, Rhône, France 2021;Domaine de la Janasse;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;15.00%;Full;Lightly Oaked;['5% Mourvèdre', '5% Syrah / Shiraz', '85% Grenache'];Vieilles Vignes
829;Domaine de la Mordorée, La Reine des Bois, Châteauneuf-du-Pape, Rhône, France 2021;Domaine de la Mordorée;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;16.00%;Full;Unoaked;['10% Mourvèdre', '5% Syrah / Shiraz', '80% Grenache'];La Reine des Bois
830;Le Clos du Caillou, La Réserve, Châteauneuf-du-Pape, Rhône, France 2021;Le Clos du Caillou;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;15.00%;Full;Oaked;['45% Mourvèdre', '55% Grenache'];La Réserve
831;Domaine Olivier Hillaire, Les Terrasses, Châteauneuf-du-Pape, Rhône, France 2021;Domaine Olivier Hillaire;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;16.00%;Full;Unoaked;['100% Grenache'];Les Terrasses
832;Brotte, Les Hauts de Barville, Châteauneuf-du-Pape, Rhône, France 2021;Brotte;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.50%;Medium;Lightly Oaked;['15% Mourvèdre', '15% Syrah / Shiraz', '70% Grenache'];Les Hauts de Barville
833;Domaine Charvin, Châteauneuf-du-Pape, Rhône, France 2021;Domaine Charvin;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.50%;Full;Unoaked;['5% Mourvèdre', '5% Syrah / Shiraz', '82% Grenache'];
834;Le Vieux Donjon, Châteauneuf-du-Pape, Rhône, France 2021;Le Vieux Donjon;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;;Full;Lightly Oaked;['10% Mourvèdre', '10% Syrah / Shiraz', '75% Grenache'];
835;Clos du Calvaire, Châteauneuf-du-Pape, Rhône, France 2021;Clos du Calvaire;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.80%;Full;Lightly Oaked;['10% Mourvèdre', '15% Syrah / Shiraz', '70% Grenache'];
836;Clos St Michel, Tradition Biologique, Châteauneuf-du-Pape, Rhône, France 2021;Clos St Michel;2021;Still;Red;France;Rhône;;;;;;;;Tradition Biologique
837;Domaine du Père Caboche, Vieilles Vignes Elisabeth Chambellan, Châteauneuf-du-Pape, Rhône, France 2021;Domaine du Père Caboche;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.80%;Medium;Lightly Oaked;['2% Mourvèdre', '10% Syrah / Shiraz', '88% Grenache'];Vieilles Vignes Elisabeth Chambellan
838;Mas de Boislauzon, Châteauneuf-du-Pape, Rhône, France 2021;Mas de Boislauzon;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;15.00%;Medium;Lightly Oaked;['20% Mourvèdre', '80% Grenache'];
839;Château Mont-Redon, Châteauneuf-du-Pape, Rhône, France 2021;Château Mont-Redon;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;15.50%;Full;Oaked;['8% Mourvèdre', '31% Syrah / Shiraz', '60% Grenache'];
840;Domaine de Ferrand, Châteauneuf-du-Pape, Rhône, France 2021;Domaine de Ferrand;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;;Light;Unoaked;['Mourvèdre', 'Syrah / Shiraz', 'Grenache'];
841;Domaine de Marcoux, Châteauneuf-du-Pape, Rhône, France 2021;Domaine de Marcoux;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.50%;Medium;Unoaked;['10% Mourvèdre', '7% Syrah / Shiraz', '80% Grenache'];
842;Domaine Jean Royer, Châteauneuf-du-Pape, Rhône, France 2021;Domaine Jean Royer;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;;Full;Lightly Oaked;['10% Mourvèdre', '15% Syrah / Shiraz', '75% Grenache'];
843;Domaine de la Côte de l'Ange, Châteauneuf-du-Pape, Rhône, France 2021;Domaine de la Côte de l'Ange;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;15.00%;Medium;Lightly Oaked;['25% Mourvèdre', '10% Syrah / Shiraz', '65% Grenache'];
844;Domaine Gramenon, L'Emouvante, Côtes du Rhône, France 2021;Domaine Gramenon;2021;Still;Red;France;Rhône;Côtes du Rhône;Dry;Cork;;Medium;Unoaked;['100% Syrah / Shiraz'];L'Emouvante
845;Domaine des Bosquets, Les Routes..., Gigondas, Rhône, France 2021;Domaine des Bosquets;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;;Full;Oaked;['100% Syrah / Shiraz'];Les Routes...
846;Domaine des Bosquets, Le Lieu Dit..., Gigondas, Rhône, France 2021;Domaine des Bosquets;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;15.00%;Medium;Lightly Oaked;['100% Grenache'];Le Lieu Dit...
847;Domaine Raspail-Ay, Gigondas, Rhône, France 2021;Domaine Raspail-Ay;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;;Full;Unoaked;['10% Mourvèdre', '20% Syrah / Shiraz', '70% Grenache'];
848;Xavier Vignon, Gigondas, Rhône, France 2021;Xavier Vignon;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;15.00%;Full;Oaked;['15% Mourvèdre', '85% Grenache'];
849;Domaine du Gour de Chaulé, Tradition, Gigondas, Rhône, France 2021;Domaine du Gour de Chaulé;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;13.50%;Medium;Lightly Oaked;['10% Mourvèdre', '10% Syrah / Shiraz', '80% Grenache'];Tradition
850;Pierre-Henri Morel, Gigondas, Rhône, France 2021;Pierre-Henri Morel;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;;Full;Unoaked;['10% Mourvèdre', '10% Syrah / Shiraz', '80% Grenache'];
851;Domaine François-Xavier Lambert, Prestige des Dentelles, Gigondas, Rhône, France 2021;Domaine François-Xavier Lambert;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;14.50%;Medium;Lightly Oaked;['10% Mourvèdre', '20% Syrah / Shiraz', '70% Grenache'];Prestige des Dentelles
852;Gigondas la Cave, Le Brut du Foudre 56, Gigondas, Rhône, France 2021;Gigondas la Cave;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;;Medium;Lightly Oaked;['5% Cinsault', '15% Syrah / Shiraz', '75% Grenache'];Le Brut du Foudre 56
853;La Bastide Saint Vincent, Gigondas, Rhône, France 2021;La Bastide Saint Vincent;2021;Still;Red;France;Rhône;Gigondas;Dry;Cork;14.70%;Medium;Lightly Oaked;['15% Mourvèdre', '10% Syrah / Shiraz', '75% Grenache'];
854;Château de Montfaucon, Lirac, Rhône, France 2021;Château de Montfaucon;2021;Still;Red;France;Rhône;Lirac;Dry;Cork;15.00%;Medium;Unoaked;['10% Cinsault', '30% Syrah / Shiraz', '60% Grenache'];
855;Domaine des Bernardins, Muscat de Beaumes de Venise, Rhône, France 2021;Domaine des Bernardins;2021;Still;White;France;Rhône;Muscat de Beaumes de Venise;Sweet;Cork;15.00%;Medium;Unoaked;['75% Muscat à Petits Grains'];
856;Domaine de Beaurenard, Les Argiles Bleues, Rasteau, Rhône, France 2021;Domaine de Beaurenard;2021;Still;Red;France;Rhône;Rasteau;Dry;Cork;;Full;Lightly Oaked;['20% Syrah / Shiraz', '80% Grenache'];Les Argiles Bleues
857;Domaine des Escaravailles, Les Côteaux, Rasteau, Rhône, France 2021;Domaine des Escaravailles;2021;Still;Red;France;Rhône;Rasteau;Dry;Cork;14.50%;Full;Unoaked;['20% Syrah / Shiraz', '80% Grenache'];Les Côteaux
858;Domaine des Carabiniers, Tavel, Rhône, France 2021;Domaine des Carabiniers;2021;Still;Rosé;France;Rhône;Tavel;Dry;Cork;;Full;Unoaked;['20% Cinsault', '15% Clairette', '50% Grenache'];
859;Domaine la Ligière, Le Chemin Blanc, Vacqueyras, France 2021;Domaine la Ligière;2021;Still;White;France;Rhône;Vacqueyras;Dry;Cork;12.00%;Full;Lightly Oaked;['40% Clairette', '10% Grenache Blanc / Garnacha Blanca', '40% Roussanne'];Le Chemin Blanc
860;Domaine la Monardière, Galéjade, Vacqueyras, Rhône, France 2021;Domaine la Monardière;2021;Still;White;France;Rhône;Vacqueyras;Dry;Cork;;Full;Oaked;['25% Clairette', '25% Grenache Blanc / Garnacha Blanca', '50% Roussanne'];Galéjade
861;Cellier des Princes, Domaine de la Libellule, Vacqueyras, Rhône, France 2021;Cellier des Princes;2021;Still;White;France;Rhône;Vacqueyras;Dry;Cork;;Medium;Oaked;['5% Clairette', '75% Grenache Blanc / Garnacha Blanca', '5% Roussanne'];Domaine de la Libellule
