;Title;Producer;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes;Brand
25;Château Brane-Cantenac, Margaux, 2ème Cru Classé, Bordeaux, 2020;Château Brane-Cantenac;2020;Still;Red;France;Bordeaux;Margaux;Dry;Cork;13.70%;Full;Oaked;['2% Cabernet Franc', '70% Cabernet Sauvignon', '26% Merlot'];
26;Château Pavie, St-Émilion, 1er Grand Cru Classé A, Bordeaux 2020;Château Pavie;2020;Still;Red;France;Bordeaux;St-Émilion;Dry;Cork;14.80%;Full;Oaked;['34% Cabernet Franc', '16% Cabernet Sauvignon', '50% Merlot'];
27;Petrus, Pomerol, Bordeaux, France, 2020;Petrus;2020;Still;Red;France;Bordeaux;Pomerol;Dry;Cork;14.60%;Full;Oaked;['100% Merlot'];
28;Château Latour, Pauillac, 1er Cru Classé, Bordeaux, 2020;Château Latour;2020;Still;Red;France;Bordeaux;Pauillac;Dry;Cork;13.30%;Full;Oaked;['97% Cabernet Sauvignon', '3% Merlot'];
29;Château Larcis Ducasse, St-Émilion, 1er Grand Cru Classé B, Bordeaux 2020;Château Larcis Ducasse;2020;Still;Red;France;Bordeaux;St-Émilion;Dry;Cork;14.50%;Full;Oaked;['10% Cabernet Franc', '90% Merlot'];
30;Château Montrose, St-Estèphe, 2ème Cru Classé, Bordeaux, 2020;Château Montrose;2020;Still;Red;France;Bordeaux;St-Estèphe;Dry;Cork;13.40%;Full;Oaked;['5% Cabernet Franc', '71% Cabernet Sauvignon', '23% Merlot'];
31;Château Troplong Mondot, St-Émilion, 1er Grand Cru Classé B, Bordeaux 2020;Château Troplong Mondot;2020;Still;Red;France;Bordeaux;St-Émilion;Dry;Cork;14.50%;Full;Oaked;['2% Cabernet Franc', '13% Cabernet Sauvignon', '85% Merlot'];
32;Château Figeac, St-Émilion, 1er Grand Cru Classé B, Bordeaux 2020;Château Figeac;2020;Still;Red;France;Bordeaux;St-Émilion;Dry;Cork;13.80%;Full;Oaked;['32% Cabernet Franc', '31% Cabernet Sauvignon', '37% Merlot'];
33;Château Gruaud-Larose, St-Julien, 2ème Cru Classé, Bordeaux, 2020;Château Gruaud-Larose;2020;Still;Red;France;Bordeaux;St-Julien;Dry;Cork;13.18%;Full;Oaked;['79% Cabernet Franc', '17% Merlot'];
34;Château Lafleur, Pomerol, Bordeaux, France, 2020;Château Lafleur;2020;Still;Red;France;Bordeaux;Pomerol;Dry;Cork;14.50%;Full;Oaked;['46% Cabernet Franc', '54% Merlot'];
35;Château Cos d'Estournel, St-Estèphe, 2ème Cru Classé, Bordeaux, 2020;Château Cos d'Estournel;2020;Still;Red;France;Bordeaux;St-Estèphe;Dry;Cork;13.50%;Full;Oaked;['62% Cabernet Sauvignon', '38% Merlot'];
