;Title;Producer;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Alcohol;Oak;Grapes;Brand;Closure;Body
0;Villa Annaberta, Amarone della Valpolicella, Veneto, Italy 2019;Villa Annaberta;2019;Still;Red;Italy;Veneto;Amarone della Valpolicella;Dry;15.00%;Oaked;['Corvina', 'Corvinone', 'Rondinella'];;;
1;Piandimare, Montepulciano d’Abruzzo, Abruzzo, Italy 2020;Piandimare;2020;Still;Red;Italy;Abruzzo;Montepulciano d’Abruzzo;;;;;;;
2;Waitrose, Loved & Found Albarossa, Piedmont, Italy 2020;Waitrose;2020;Still;Red;Italy;Piedmont;;Dry;13.00%;;['100% Albarossa'];Loved & Found Albarossa;Screwcap;Medium
3;Isole e Olena, Cepparello, Tuscany 2006;Isole e Olena;2006;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
4;Isole e Olena, Cepparello, Tuscany 2010;Isole e Olena;2010;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
5;Isole e Olena, Cepparello, Tuscany 2013;Isole e Olena;2013;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
6;Isole e Olena, Cepparello, Tuscany 2017;Isole e Olena;2017;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
7;Isole e Olena, Cepparello, Tuscany 2019;Isole e Olena;2019;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
8;Isole e Olena, Cepparello, Tuscany 2020;Isole e Olena;2020;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
9;Bibi Graetz, Balocchi di Colore No 8, Toscana 2020;Bibi Graetz;2020;Still;Red;Italy;Tuscany;Toscana;Dry;13.00%;;['100% Canaiolo'];Balocchi di Colore No 8;Cork;Medium
10;Bibi Graetz, Balocchi di Colore No 3, Toscana 2020;Bibi Graetz;2020;Still;Red;Italy;Tuscany;Toscana;Dry;14.00%;;['100% Colorino'];Balocchi di Colore No 3;Cork;Medium
11;Bibi Graetz, Balocchi di Colore No 1, Toscana 2020;Bibi Graetz;2020;Still;Red;Italy;Tuscany;Toscana;Dry;13.50%;;['100% Sangiovese'];Balocchi di Colore No 1;Cork;Medium
12;Mastroberardino, Radici Reserva, Taurasi, Campania, Italy 2015;Mastroberardino;2015;Still;Red;Italy;Campania;Taurasi Riserva;Dry;13.50%;Oaked;['100% Aglianico'];Radici;Cork;Full
13;Mastroberardino, Stilèma, Taurasi, Campania, Italy 2015;Mastroberardino;2015;Still;Red;Italy;Campania;Taurasi;Dry;;;['Aglianico'];Stilèma;;
14;Quintodecimo, Vigna Quintodecimo, Taurasi Riserva, Campania, Italy 2017;Quintodecimo;2017;Still;Red;Italy;Campania;Taurasi Riserva;Dry;14.50%;Oaked;['100% Aglianico'];Vigna Quintodecimo;Cork;Full
15;Boccella Vini, Sant'Eustachio, Taurasi, Campania, Italy 2017;Boccella Vini;2017;Still;Red;Italy;Campania;Taurasi;Dry;14.50%;Oaked;['100% Aglianico'];Sant'Eustachio;Cork;Full
16;Boccella Rosa, Taurasi, Campania, Italy 2016;Boccella Rosa;2016;Still;Red;Italy;Campania;Taurasi;Dry;14.00%;Oaked;['100% Aglianico'];;Cork;Full
17;Antico Borgo, Taurasi Riserva, Campania, Italy 2014;Antico Borgo;2014;Still;Red;Italy;Campania;Taurasi Riserva;Dry;14.00%;Oaked;['100% Aglianico'];;Cork;Full
18;Cavalier Pepe, La Loggia del Cavaliere, Taurasi Riserva, Campania, Italy 2014;Cavalier Pepe;2014;Still;Red;Italy;Campania;Taurasi Riserva;Dry;14.00%;Oaked;['100% Aglianico'];La Loggia del Cavaliere;Cork;Full
19;Salvatore Molettieri, Vigna Cinque Querce, Taurasi, Campania, Italy 2007;Salvatore Molettieri;2007;Still;Red;Italy;Campania;Taurasi;Dry;14.00%;Oaked;['100% Aglianico'];Vigna Cinque Querce;Cork;Full
20;I Favati, Terzotratto, Taurasi, Campania, Italy 2017;I Favati;2017;Still;Red;Italy;Campania;Taurasi;Dry;15.00%;Oaked;['100% Aglianico'];Terzotratto;Cork;Full
21;Fratelli Addimanda, Starse, Taurasi, Campania, Italy 2017;Fratelli Addimanda;2017;Still;Red;Italy;Campania;Taurasi;Dry;14.00%;Oaked;['100% Aglianico'];Starse;Cork;Full
22;San Guglielmo, Brunello di Montalcino, Tuscany, Italy, 2018;San Guglielmo;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
23;Le Chiuse, Brunello di Montalcino, Tuscany, Italy 2017;Le Chiuse;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];;Cork;Full
24;Marchesi di Barolo, Barolo, Piedmont, Italy 1958;Marchesi di Barolo;1958;Still;Red;Italy;Piedmont;Barolo;Dry;12.50%;Oaked;['100% Nebbiolo'];;Natural Cork;Medium
25;Ornellaia, Bolgheri, Superiore, Tuscany 2020;Ornellaia;2020;Still;Red;Italy;Tuscany;Bolgheri;Dry;14.50%;Oaked;['13% Cabernet Franc', '50% Cabernet Sauvignon', '32% Merlot'];;Cork;
26;Tenuta San Guido, Sassicaia, Bolgheri, Sassicaia, 2000;Tenuta San Guido;2000;Still;Red;Italy;Tuscany;Bolgheri;Dry;13.50%;Oaked;['15% Cabernet Franc', '85% Cabernet Sauvignon'];Sassicaia;Cork;Full
27;Tenuta San Guido, Sassicaia, Bolgheri, Sassicaia, 2010;Tenuta San Guido;2010;Still;Red;Italy;Tuscany;Bolgheri;Dry;13.50%;;['Cabernet Franc', 'Cabernet Sauvignon'];Sassicaia;Natural Cork;
28;Tenuta San Guido, Sassicaia, Bolgheri, Sassicaia, 2014;Tenuta San Guido;2014;Still;Red;Italy;Tuscany;Bolgheri;Dry;13.00%;Oaked;['Cabernet Franc', 'Cabernet Sauvignon'];Sassicaia;Cork;Full
29;Tenuta San Guido, Le Difese, Toscana, Tuscany 2021;Tenuta San Guido;2021;Still;Red;Italy;Tuscany;Toscana;Dry;14.00%;Oaked;['45% Cabernet Sauvignon', '55% Sangiovese'];Le Difese;Cork;
30;Tenuta San Guido, Sassicaia, Bolgheri Sassicaia 2020;Tenuta San Guido;2020;Still;Red;Italy;Tuscany;Bolgheri;Dry;14.00%;Oaked;['15% Cabernet Franc', '85% Cabernet Sauvignon'];Sassicaia;Cork;
31;Kellerei Kurtatsch, Caliz Chardonnay, Alto Adige, Italy 2021;Kellerei Kurtatsch;2021;Still;White;Italy;Trentino-Alto Adige;Südtirol;Dry;13.50%;;['100% Chardonnay'];Caliz Chardonnay;Cork;Medium
32;Verga, 1895 La Storia, Barolo, Piedmont, Italy 2018;Verga;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.00%;;['100% Nebbiolo'];1895 La Storia;Cork;Medium
33;Elena Walch, Vigna Castel Ringberg Pinot Grigio, Alto Adige, Italy 2020;Elena Walch;2020;Still;White;Italy;Trentino-Alto Adige;Südtirol;Dry;13.50%;Lightly Oaked;['100% Pinot Grigio / Pinot Gris'];Vigna Castel Ringberg Pinot Grigio;Cork;Full
34;Viticoltori De Conciliis, Donnaluna Fiano, Campania, Italy 2021;Viticoltori De Conciliis;2021;Still;White;Italy;Campania;;Dry;13.00%;;['Fiano'];Donnaluna Fiano;;Medium
35;Monte Antico, Tuscany, Italy 2018;Monte Antico;2018;Still;Red;Italy;Tuscany;;Dry;13.50%;Lightly Oaked;['10% Cabernet Sauvignon', '5% Merlot', '85% Sangiovese'];Toscana;Screwcap;Light
36;Castello Banfi, Magna Cum Laude, Tuscany, Italy 2019;Castello Banfi;2019;Still;Red;Italy;Tuscany;;Dry;14.50%;Oaked;['Cabernet Sauvignon', 'Merlot', 'Sangiovese'];Magna Cum Laude;Cork;Full
37;Castiglion del Bosco, L'America, Rosso di Montalcino, 2020;Castiglion del Bosco;2020;Still;Red;Italy;Tuscany;Rosso di Montalcino;Dry;;Unoaked;['100% Sangiovese'];L'America;Cork;
38;Castiglion del Bosco, Deimassi, Rosso di Montalcino, 2020;Castiglion del Bosco;2020;Still;Red;Italy;Tuscany;Rosso di Montalcino;Dry;;Oaked;['100% Sangiovese'];Deimassi;Cork;
39;Castiglion del Bosco, Brunello di Montalcino, Tuscany 2018;Castiglion del Bosco;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;;Oaked;['100% Sangiovese'];;Cork;
40;Castiglion del Bosco, Campo del Drago, Brunello di Montalcino, Tuscany 2018;Castiglion del Bosco;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;;Oaked;['100% Sangiovese'];Campo del Drago;Cork;
41;Di Meo, Fiano di Avellino, Campania, Italy, 2021;Di Meo;2021;Still;White;Italy;Campania;Fiano di Avellino;Dry;13.50%;Unoaked;['Fiano'];;Cork;Full
42;Pietracupa, Fiano, Campania, Italy, 2020;Pietracupa;2020;Still;White;Italy;Campania;;Dry;12.50%;Unoaked;['Fiano'];Fiano;Cork;Medium
43;Tenuta Cavalier Pepe, Brancato Riserva, Fiano di Avellino, Campania 2019;Tenuta Cavalier Pepe;2019;Still;White;Italy;Campania;Fiano di Avellino;Dry;13.00%;Lightly Oaked;['Fiano'];Brancato Riserva;Cork;Medium
44;Benito Ferrara, Vigna Cicogna, Greco di Tufo, Campania, 2021;Benito Ferrara;2021;Still;White;Italy;Campania;Greco di Tufo;Dry;13.50%;Unoaked;['Greco di Tufo'];Vigna Cicogna;Cork;Full
45;Marisa Cuomo, Fiorduva, Costa d'Amalfi, Furore, 2020;Marisa Cuomo;2020;Still;White;Italy;Campania;Costa d'Amalfi;Dry;14.50%;Lightly Oaked;['40% Ripoli', '30% Fenile', '30% Ginestra'];Fiorduva;Cork;Full
46;Ettore Sammarco, Selva delle Monache, Costa d'Amalfi, 2021;Ettore Sammarco;2021;Still;White;Italy;Campania;Costa d'Amalfi;Dry;13.50%;Unoaked;['60% Biancolella', '20% Falanghina', '20% Biancazita'];Selva delle Monache;Cork;Light
47;Ettore Sammarco, Grotta Piana, Costa d'Amalfi, 2021;Ettore Sammarco;2021;Still;White;Italy;Campania;Costa d'Amalfi;Dry;13.50%;Lightly Oaked;['30% Biancolella', '30% Falanghina', '40% Ginestrella'];Grotta Piana;Cork;Medium
48;La Sibilla, CruNa de Lago, Campi Flegrei, Campania, 2021;La Sibilla;2021;Still;White;Italy;Campania;Campi Flegrei;Dry;13.00%;Unoaked;['Falanghina'];CruNa de Lago;Cork;Light
49;Contrada Salandra, Campi Flegrei, Campania, Italy, 2019;Contrada Salandra;2019;Still;White;Italy;Campania;Campi Flegrei;Dry;13.00%;Unoaked;['Falanghina'];;Cork;Light
50;Astroni, Tenuta Jossa, Campi Flegrei, Campania, Italy, 2020;Astroni;2020;Still;White;Italy;Campania;Campi Flegrei;Dry;12.50%;Unoaked;['Fiano', 'Falanghina'];Tenuta Jossa;Cork;Light
51;Astroni, Colle Imperatrice, Campi Flegrei, Campania, 2021;Astroni;2021;Still;White;Italy;Campania;Campi Flegrei;Dry;12.50%;Unoaked;['Falanghina'];Colle Imperatrice;Cork;Light
52;Passo delle Tortore, Le Arcaie, Greco di Tufo, Campania 2021;Passo delle Tortore;2021;Still;White;Italy;Campania;Greco di Tufo;Dry;13.50%;Oaked;['Greco'];Le Arcaie;Cork;Medium
53;Tenuta Scuotto, Fiano di Avellino, Campania, Italy, 2021;Tenuta Scuotto;2021;Still;White;Italy;Campania;Fiano di Avellino;Dry;13.50%;Unoaked;['Fiano'];;Cork;Full
54;I Favati, Pietramara Etichetta Nera, Fiano di Avellino, 2021;I Favati;2021;Still;White;Italy;Campania;Fiano di Avellino;Dry;13.50%;Unoaked;['Fiano'];Pietramara Etichetta Nera;Cork;Full
55;Di Meo, Greco di Tufo, Campania, Italy, 2021;Di Meo;2021;Still;White;Italy;Campania;Greco di Tufo;Dry;13.50%;Unoaked;['Greco di Tufo'];;Cork;Medium
56;Di Prisco, Vigna Rotole Fiano, Irpinia, Campania, 2020;Di Prisco;2020;Still;White;Italy;Campania;Irpinia;Dry;13.50%;Unoaked;['Fiano'];Vigna Rotole Fiano;Cork;Medium
57;Galardi, Terra di Lavoro, Campania, Italy, 2019;Galardi;2019;Still;Red;Italy;Campania;;Dry;14.00%;Oaked;['80% Aglianico', '20% Piedirosso'];Terra di Lavoro;Cork;Full
58;Montevetrano, Colli di Salerno, Campania, Italy, 2019;Montevetrano;2019;Still;Red;Italy;Campania;Colli di Salerno;Dry;14.50%;Oaked;['Aglianico', 'Cabernet Sauvignon', 'Merlot'];;Cork;Full
59;Vuolo, 2mila17 Aglianico, Colli di Salerno, Campania, 2017;Vuolo;2017;Still;Red;Italy;Campania;Colli di Salerno;Dry;14.50%;Oaked;['Aglianico'];2mila17 Aglianico;Cork;Full
60;Salvatore Martusciello, Settevulcani Piedirosso, Campi Flegrei, Campania 2021;Salvatore Martusciello;2021;Still;Red;Italy;Campania;Campi Flegrei;Dry;12.50%;Unoaked;['Piedirosso'];Settevulcani Piedirosso;Cork;Light
61;Sainsbury's, Taste the Difference Discovery Collection;Sainsbury's;2021;Still;Red;Italy;Tuscany;Morellino di Scansano;Dry;13.00%;Oaked;['10% Merlot', '90% Sangiovese'];Taste the Difference Discovery Collection;Cork;Medium
62;La Sibilla, Vigna Madre Piedirosso, Campi Flegrei, 2020;La Sibilla;2020;Still;Red;Italy;Campania;Campi Flegrei;Dry;13.00%;Unoaked;['Piedirosso'];Vigna Madre Piedirosso;Cork;Full
63;Galardi, Terra di Rosso Piedirosso, Campania, Italy, 2019;Galardi;2019;Still;Red;Italy;Campania;;Dry;14.50%;Lightly Oaked;['Piedirosso'];Terra di Rosso Piedirosso;Cork;Full
64;Marisa Cuomo, Riserva, Costa d'Amalfi, Furore, 2018;Marisa Cuomo;2018;Still;Red;Italy;Campania;Costa d'Amalfi;Dry;14.50%;Oaked;['50% Aglianico', '50% Piedirosso'];Riserva;Cork;Full
65;Sclavia, Lucia a Monticelli, Terre del Volturno, 2019;Sclavia;2019;Still;Red;Italy;Campania;Terre del Volturno;Dry;13.00%;Oaked;['Pallagrello Nero'];Lucia a Monticelli;Cork;Full
66;Le Chiuse, Riserva, Brunello di Montalcino, Tuscany, 2013;Le Chiuse;2013;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
67;Villa Poggio Salvi, Riserva, Brunello di Montalcino, 2017;Villa Poggio Salvi;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
68;Corte Pavone, Vigna Poggio Molino al Vento Riserva, Brunello di Montalcino 2017;Corte Pavone;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;15.00%;Oaked;['100% Sangiovese'];Vigna Poggio Molino al Vento Riserva;Cork;Full
69;Caparzo, Riserva, Brunello di Montalcino, Tuscany, 2017;Caparzo;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;15.00%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
70;San Polino, Riserva, Brunello di Montalcino, Tuscany, 2017;San Polino;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
71;Ridolfi, Mercatale, Brunello di Montalcino, Tuscany, 2017;Ridolfi;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Mercatale;Cork;Full
72;Roberto Cipresso, Riserva, Brunello di Montalcino, 2017;Roberto Cipresso;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
73;Poggio Antico, Riserva, Brunello di Montalcino, 2017;Poggio Antico;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
74;Patrizia Cencioni, Riserva, Brunello di Montalcino, 2017;Patrizia Cencioni;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
75;Mocali, Riserva, Brunello di Montalcino, Tuscany, 2017;Mocali;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
76;La Rasina, Il DiVasco Riserva, Brunello di Montalcino, 2017;La Rasina;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Il DiVasco Riserva;Cork;Full
77;Casisano, Colombaiolo Riserva, Brunello di Montalcino, 2017;Casisano;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];Colombaiolo Riserva;Cork;Full
78;Fattoria dei Barbi, Riserva, Brunello di Montalcino, 2017;Fattoria dei Barbi;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
79;Fattoi, Riserva, Brunello di Montalcino, Tuscany, 2017;Fattoi;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
80;Capanna, Riserva, Brunello di Montalcino, Tuscany, 2017;Capanna;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;15.00%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
81;Le Potazzine, Riserva, Brunello di Montalcino, Tuscany, 2015;Le Potazzine;2015;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;15.00%;Oaked;['100% Sangiovese'];Riserva;Cork;Full
82;Sesti, Phenomena Riserva, Brunello di Montalcino, 2017;Sesti;2017;Still;Red;Italy;Tuscany;;;;;;Phenomena Riserva;;
83;Tenuta di Sesta, Duelecci Ovest Riserva, Brunello di Montalcino, Tuscany 2017;Tenuta di Sesta;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Duelecci Ovest Riserva;Cork;Full
84;Castello Banfi, Poggio alle Mura Riserva, Brunello di Montalcino, Tuscany 2017;Castello Banfi;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;15.50%;Oaked;['100% Sangiovese'];Poggio alle Mura Riserva;Cork;Full
85;Lisini, Ugolaia, Brunello di Montalcino, Tuscany, 2017;Lisini;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Ugolaia;Cork;Full
86;Salicutti, Teatro, Brunello di Montalcino, Tuscany, 2017;Salicutti;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];Teatro;Cork;Full
87;Luigi Tecce, Satyricon, Irpinia Campi Taurasini 2020;Luigi Tecce;2020;Still;Red;Italy;Campania;Irpinia Campi Taurasini;Dry;14.00%;Lightly Oaked;['Aglianico'];Satyricon;Cork;Full
88;Luigi Tecce, Puro Sangue Riserva, Taurasi 2016;Luigi Tecce;2016;Still;Red;Italy;Campania;Taurasi;Dry;14.50%;Oaked;['Aglianico'];Puro Sangue Riserva;Cork;Full
89;Luigi Tecce, Poliphemo Riserva, Taurasi 2018;Luigi Tecce;2018;Still;Red;Italy;Campania;Taurasi;Dry;14.50%;Oaked;['Aglianico'];Poliphemo Riserva;Cork;Full
90;Di Meo, Vigna Olmo Riserva, Taurasi 2016;Di Meo;2016;Still;Red;Italy;Campania;Taurasi;Dry;14.00%;Oaked;['Aglianico'];Vigna Olmo Riserva;Cork;Full
91;Feudi di San Gregorio, Piano di Montevergine Riserva, Taurasi 2017;Feudi di San Gregorio;2017;Still;Red;Italy;Campania;Taurasi;Dry;14.00%;Oaked;['Aglianico'];Piano di Montevergine Riserva;Cork;Full
92;Stefania Barbot, Ion, Irpinia Campi Taurasini 2019;Stefania Barbot;2019;Still;Red;Italy;Campania;Irpinia Campi Taurasini;Dry;15.50%;Unoaked;['Aglianico'];Ion;Cork;Full
93;Biondi-Santi, Riserva, Brunello di Montalcino, Tuscany 2016;Biondi-Santi;2016;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['Sangiovese'];Riserva;Natural Cork;Full
94;Uccelliera, Brunello di Montalcino, Tuscany, Italy, 2018;Uccelliera;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;15.00%;Oaked;['100% Sangiovese'];;Cork;Full
95;Sesti, Brunello di Montalcino, Tuscany, Italy, 2018;Sesti;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];;Cork;Full
96;Salicutti, Piaggione, Brunello di Montalcino, Tuscany, 2018;Salicutti;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Piaggione;Cork;Full
97;Ridolfi, Brunello di Montalcino, Tuscany, Italy, 2018;Ridolfi;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
98;Le Ragnaie, Passo del Lume Spento, Brunello di Montalcino, Tuscany 2018;Le Ragnaie;2018;Still;Red;Italy;Tuscany;;;;;;Passo del Lume Spento;;
99;Le Potazzine, Brunello di Montalcino, Tuscany, Italy, 2018;Le Potazzine;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
100;La Magia, Ciliegio, Brunello di Montalcino, Tuscany, 2018;La Magia;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Ciliegio;Cork;Full
101;La Fiorita, Fiore di NO, Brunello di Montalcino, Tuscany 2018;La Fiorita;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;15.00%;Oaked;['100% Sangiovese'];Fiore di NO;Cork;Full
102;Gorelli, Brunello di Montalcino, Tuscany, Italy, 2018;Gorelli;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
103;Gianni Brunelli, Brunello di Montalcino, Tuscany, 2018;Gianni Brunelli;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
104;Fattoria dei Barbi, Brunello di Montalcino, Tuscany, 2018;Fattoria dei Barbi;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];;Cork;Full
105;Cerbaia, Brunello di Montalcino, Tuscany, Italy, 2018;Cerbaia;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
106;Cava d'Onice, Colombaio, Brunello di Montalcino, Tuscany 2018;Cava d'Onice;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Colombaio;Cork;Full
107;Caparzo, Brunello di Montalcino, Tuscany, Italy, 2018;Caparzo;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
108;Canalicchio di Sopra, Vigna Montosoli, Brunello di Montalcino, Tuscany 2018;Canalicchio di Sopra;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];Vigna Montosoli;Cork;Full
109;Baricci, Brunello di Montalcino, Tuscany, Italy, 2018;Baricci;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];;Cork;Full
110;Castello Banfi, Vigna Marrucheto, Brunello di Montalcino, Tuscany 2018;Castello Banfi;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;15.00%;Oaked;['100% Sangiovese'];Vigna Marrucheto;Cork;Full
111;Argiano, Vigna del Suolo, Brunello di Montalcino, Tuscany 2018;Argiano;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];Vigna del Suolo;Cork;Full
112;Val di Suga, Vigna del Lago, Brunello di Montalcino, Tuscany 2018;Val di Suga;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];Vigna del Lago;Cork;Full
113;Tassi, Vigna Colombaiolo, Brunello di Montalcino, Tuscany 2018;Tassi;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;13.50%;Oaked;['100% Sangiovese'];Vigna Colombaiolo;Cork;Full
114;Talenti, Brunello di Montalcino, Tuscany, Italy, 2018;Talenti;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];;Cork;Full
115;Sanlorenzo, Brunello di Montalcino, Tuscany, Italy, 2018;Sanlorenzo;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;;Oaked;['100% Sangiovese'];;Cork;Full
116;San Polo, Podernovi, Brunello di Montalcino, Tuscany, 2018;San Polo;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];Podernovi;Cork;Full
117;San Polino, Brunello di Montalcino, Tuscany, Italy, 2018;San Polino;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];;Cork;Full
118;Pietroso, Brunello di Montalcino, Tuscany, Italy, 2018;Pietroso;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
119;Cordella, Brunello di Montalcino, Tuscany, Italy, 2018;Cordella;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
120;Le Ragnaie, Brunello di Montalcino, Tuscany, Italy, 2018;Le Ragnaie;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;13.50%;Oaked;['100% Sangiovese'];;Cork;Full
121;Le Chiuse, Brunello di Montalcino, Tuscany, Italy, 2018;Le Chiuse;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
122;La Fiorita, Brunello di Montalcino, Tuscany, Italy, 2018;La Fiorita;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;15.00%;Oaked;['100% Sangiovese'];;Cork;Full
123;Gaja, Pieve Santa Restituta Rennina, Brunello di Montalcino, Tuscany 2018;Gaja;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;;Oaked;['100% Sangiovese'];Pieve Santa Restituta Rennina;Cork;Full
124;Conti Costanti, Brunello di Montalcino, Tuscany, Italy, 2018;Conti Costanti;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
125;Cortonesi, La Mannella, Brunello di Montalcino, Tuscany 2018;Cortonesi;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];La Mannella;Cork;Full
126;Col di Lamo, Brunello di Montalcino, Tuscany, Italy, 2018;Col di Lamo;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
