;Title;Producer;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Alcohol;Oak;Grapes;Brand;Closure;Body
905;Carlo Casetta, Fil, Roero, Monta d'Alba, Piedmont, 2019;Carlo Casetta;2019;Still;Red;Italy;Piedmont;Roero;Dry;14.00%;Lightly Oaked;['Nebbiolo'];Fil;Cork;Medium
906;Giovanni Almondo, Roero, Monta d'Alba, Piedmont, Italy, 2019;Giovanni Almondo;2019;Still;Red;Italy;Piedmont;Roero;Dry;14.00%;Oaked;['Nebbiolo'];;Cork;Medium
907;Deltetto, Gorrini, Roero, Santo Stefano Roero, 2019;Deltetto;2019;Still;Red;Italy;Piedmont;Roero;Dry;14.00%;Oaked;['Nebbiolo'];Gorrini;Cork;Medium
908;Renzo Seghesio, Ruri Nebbiolo, Langhe, Piedmont, Italy, 2019;Renzo Seghesio;2019;Still;Red;Italy;Piedmont;Langhe;Dry;14.00%;Lightly Oaked;['Nebbiolo'];Ruri Nebbiolo;Cork;Medium
909;Livia Fontana, Nebbiolo, Langhe, Piedmont, Italy, 2019;Livia Fontana;2019;Still;Red;Italy;Piedmont;Langhe;Dry;14.00%;Oaked;['Nebbiolo'];Nebbiolo;Cork;Full
910;Mauro Molino, Nebbiolo, Langhe, Piedmont, Italy, 2020;Mauro Molino;2020;Still;Red;Italy;Piedmont;Langhe;Dry;13.50%;Lightly Oaked;['Nebbiolo'];Nebbiolo;Cork;Medium
911;Ceretto, Bernardina, Nebbiolo d'Alba, Piedmont, Italy, 2020;Ceretto;2020;Still;Red;Italy;Piedmont;Nebbiolo d'Alba;Dry;14.00%;Oaked;['Nebbiolo'];Bernardina;Cork;Medium
912;Ca' del Baio, Bric del Baio Nebbiolo, Langhe, Piedmont, 2020;Ca' del Baio;2020;Still;Red;Italy;Piedmont;Langhe;Dry;14.50%;Oaked;['Nebbiolo'];Bric del Baio Nebbiolo;Cork;Full
913;Platinetti Guido, Nebbiolo, Colline Novaresi, Piedmont, 2020;Platinetti Guido;2020;Still;Red;Italy;Piedmont;Colline Novaresi;Dry;13.50%;Lightly Oaked;['Nebbiolo'];Nebbiolo;Cork;Full
914;Podere ai Valloni, Vigna Cristiana, Boca, Piedmont, 2013;Podere ai Valloni;2013;Still;Red;Italy;Piedmont;Boca;Dry;13.00%;Oaked;['70% Nebbiolo', '10% Uva Rara', '20% Vespolina'];Vigna Cristiana;Cork;Full
915;Mazzoni, Ghemme, Piedmont, Italy, 2018;Mazzoni;2018;Still;Red;Italy;Piedmont;Ghemme;Dry;13.50%;Oaked;['Nebbiolo'];;Cork;Full
916;Cantinoteca dei Prolo, Lochera, Fara, Piedmont, Italy, 2018;Cantinoteca dei Prolo;2018;Still;Red;Italy;Piedmont;Fara;Dry;13.50%;Oaked;['Nebbiolo', 'Vespolina'];Lochera;Cork;Full
917;Cornarea, Roero, Canale, Piedmont, Italy, 2019;Cornarea;2019;Still;Red;Italy;Piedmont;Roero;Dry;14.00%;Oaked;['Nebbiolo'];;Cork;Medium
918;Cascina Ca' Rossa, Le Coste, Roero, Santo Stefano Roero, Piedmont, Italy 2019;Cascina Ca' Rossa;2019;Still;Red;Italy;Piedmont;Roero;Dry;14.00%;Oaked;['Nebbiolo'];Le Coste;Cork;Medium
919;Lorenzo Negro, San Francesco Riserva, Roero, Monteu Roero, Piedmont 2018;Lorenzo Negro;2018;Still;Red;Italy;Piedmont;Roero;Dry;14.50%;Oaked;['Nebbiolo'];San Francesco Riserva;Cork;Full
920;Massolino, Nebbiolo, Langhe, Piedmont, Italy, 2020;Massolino;2020;Still;Red;Italy;Piedmont;Langhe;Dry;14.50%;Lightly Oaked;['Nebbiolo'];Nebbiolo;Cork;Full
921;Roagna, Nebbiolo, Langhe, Piedmont, Italy, 2016;Roagna;2016;Still;Red;Italy;Piedmont;Langhe;Dry;14.00%;Oaked;['Nebbiolo'];Nebbiolo;Cork;Full
922;Mauro Veglio, Angelo Nebbiolo, Langhe, Piedmont, Italy, 2020;Mauro Veglio;2020;Still;Red;Italy;Piedmont;Langhe;Dry;14.50%;Lightly Oaked;['Nebbiolo'];Angelo Nebbiolo;Cork;Medium
923;Carlo Giacosa, Maria Grazia Nebbiolo, Langhe, Piedmont, 2020;Carlo Giacosa;2020;Still;Red;Italy;Piedmont;Langhe;Dry;14.00%;Oaked;['Nebbiolo'];Maria Grazia Nebbiolo;Cork;Medium
924;GB Burlotto, Nebbiolo, Langhe, Piedmont, Italy, 2020;GB Burlotto;2020;Still;Red;Italy;Piedmont;Langhe;Dry;14.00%;Oaked;['Nebbiolo'];Nebbiolo;Cork;Full
925;Gagliasso, Ciabot Russ Nebbiolo, Langhe, Piedmont, 2019;Gagliasso;2019;Still;Red;Italy;Piedmont;Langhe;Dry;14.50%;Oaked;['Nebbiolo'];Ciabot Russ Nebbiolo;Cork;Full
926;Brigatti, Oltre il Bosco, Ghemme, Piedmont, Italy, 2018;Brigatti;2018;Still;Red;Italy;Piedmont;Ghemme;Dry;14.00%;Oaked;['Nebbiolo'];Oltre il Bosco;Cork;Full
927;Torraccia del Piantavigna, Riserva, Gattinara, Piedmont, Italy 2016;Torraccia del Piantavigna;2016;Still;Red;Italy;Piedmont;Gattinara;Dry;14.00%;Oaked;['Nebbiolo'];Riserva;Cork;Full
928;Barbaglia, Boca, Piedmont, Italy, 2017;Barbaglia;2017;Still;Red;Italy;Piedmont;Boca;Dry;14.00%;Oaked;['Nebbiolo', 'Vespolina'];;Cork;Full
